Time(s),CTSresistance,PatientWeight(kg),HeartRate(1/min),CardiacOutput(L/min),BloodVolume(L),CentralVenousPressure(mmHg),PulmonaryCapillariesWedgePressure(mmHg),MeanArterialPressure(mmHg),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC),TotalMetabolicRate(kcal/day),OxygenConsumptionRate(mL/min),CarbonDioxideProductionRate(mL/min),RespiratoryExchangeRatio,TotalBodyFluidVolume(L),ExtracellularFluidVolume(L),IntracellularFluidVolume(L),UrineProductionRate(mL/min),GlomerularFiltrationRate(mL/min),TotalWorkRateLevel,AchievedExerciseLevel,FatigueLevel,SleepTime(s),WakeTime(s),BiologicalDebt,AttentionLapses,StomachContents-Carbohydrate(g),StomachContents-Fat(g),StomachContents-Protein(g),StomachContents-Water(mL),LiverGlycogen(g),MuscleGlycogen(g),Aorta-Glucose-Concentration(mg/dL),VenaCava-Insulin-Concentration(ug/L),VenaCava-Glucagon-Concentration(ug/L)
600.00,0,77.6,72.34,5.88,5.56,4.03,6.42,95.4,18.40,0.980,35.5,2429.91,342.407,280.391,0.768,39.9,9.8,24.6,1.614,143,0,0,0,29400.0,644.5,0.063547,3,0,0,0,250,116.90,591.99,76.0,0.736,0.084289
1200.00,0,77.6,71.96,5.92,5.61,4.03,6.48,95.6,19.35,0.980,34.8,2819.31,375.458,292.929,0.731,39.9,9.8,24.5,0.873,106,0,0,0.07,30000.0,644.5,0.063557,3,0,0,0,0,116.72,591.78,70.4,0.734,0.107909
1800.00,0,77.6,71.81,6.01,5.68,4.07,6.56,95.7,19.74,0.981,34.1,3165.34,397.930,309.244,0.728,40.0,9.8,24.5,0.327,81,0,0,0.16,30600.0,644.5,0.063566,3,0,0,0,0,115.88,591.56,68.1,0.731,0.129343
2400.00,0,77.6,71.50,6.04,5.72,4.18,6.61,96.1,20.00,0.981,33.5,3220.03,401.629,311.994,0.728,40.0,9.8,24.5,2.005,161,0,0,0.18,31200.0,644.5,0.063575,3,0,0,0,0,114.74,591.35,67.0,0.730,0.136232
3000.00,0,77.6,70.98,6.17,5.75,4.24,6.74,96.0,20.00,0.983,33.0,3177.35,398.305,309.531,0.728,40.0,9.7,24.5,1.793,151,0,0,0.16,31800.0,644.5,0.063585,3,0,0,0,0,113.47,591.13,66.1,0.729,0.138564
3600.00,0,77.6,70.75,6.18,5.78,4.18,6.77,96.3,20.00,0.983,32.5,3106.41,393.835,306.190,0.729,40.0,9.7,24.5,1.171,124,0,0,0.14,32400.0,644.5,0.063594,3,0,0,0,0,112.16,590.91,65.3,0.728,0.139421
4200.00,0,77.6,70.67,6.19,5.79,4.20,6.79,96.4,19.87,0.984,32.0,3011.56,387.178,301.200,0.729,40.0,9.7,24.5,0.813,105,0,0,0.11,33000.0,644.5,0.063603,3,0,0,0,0,110.83,590.69,64.7,0.728,0.139786
4800.00,0,77.6,70.52,6.19,5.81,4.30,6.80,96.6,19.74,0.985,31.5,2897.11,378.754,294.878,0.730,40.0,9.7,24.5,1.757,150,0,0,0.09,33600.0,644.5,0.063612,3,0,0,0,0,109.48,590.47,64.2,0.727,0.139965
5400.00,0,77.6,70.47,6.20,5.81,4.23,6.81,96.7,19.61,0.986,31.1,2767.17,370.129,288.409,0.730,40.0,9.7,24.5,1.421,137,0,0,0.05,34200.0,644.5,0.063622,3,0,0,0,0,108.13,590.25,64.0,0.727,0.140073
6000.00,0,77.6,70.42,6.20,5.82,4.22,6.82,96.8,19.35,0.987,30.7,2625.58,360.108,280.889,0.731,40.0,9.7,24.5,0.778,104,0,0,0.01,34800.0,644.5,0.063631,3,0,0,0,0,106.78,590.03,63.9,0.727,0.140142
6600.00,0,77.6,70.50,6.21,5.82,4.32,6.82,96.9,18.99,0.987,30.3,2475.88,347.292,271.267,0.732,40.0,9.7,24.5,1.683,148,0,0,0,35400.0,644.5,0.063640,3,0,0,0,0,105.42,589.82,66.1,0.728,0.140192
7200.00,0,77.6,70.56,6.23,5.83,4.24,6.83,96.8,18.40,0.989,29.9,2321.20,325.795,255.126,0.734,40.0,9.7,24.5,1.613,147,0,0,0,36000.0,644.5,0.063650,3,0,0,0,0,104.09,589.60,72.0,0.733,0.140223
7800.00,0,77.6,70.51,6.22,5.83,4.22,6.83,96.8,18.07,0.990,29.5,2164.37,306.147,242.890,0.744,40.0,9.7,24.5,0.717,102,0,0,0,36600.0,644.5,0.063659,3,0,0,0,0,103.03,589.38,75.4,0.737,0.113911
8400.00,0,77.6,70.32,6.19,5.83,4.33,6.84,96.9,17.75,0.991,29.2,2007.81,285.783,227.473,0.746,40.0,9.7,24.5,1.601,145,0,0,0,37200.0,644.5,0.063668,3,0,0,0,0,102.63,589.16,73.9,0.738,0.095124
